data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45
02/04/2020,,,,,65.598279814463,178.01027226014486,249.13550004535225,263.9788677711278,475.87129934761435,728.764959278323,737.6093358654374,654.9411121222452,589.2436402272514,558.5406408239658,506.4983113189803,460.55601063795825,421.59566516999274,376.1034310558022,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,210.24254828451436,297.5459123980831,315.86940119431256,582.1098680907264,905.937922798065,917.3287681761335,811.0502994859144,726.8200027437022,687.4991909919496,620.986243239458,562.4078759079356,512.8374685718273,455.13739567674355,415.8367825491461,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,355.36312556296156,377.9600975384066,712.0662645407377,1126.184113978825,1140.8370637503108,1004.3690587153308,896.5176377374568,846.2323116135627,761.3528133755192,686.7842598452602,623.8258381169887,550.7794713860877,501.1429357952095,472.21810362893035,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,452.2560108421607,871.0355087434696,1399.9752374434772,1418.8034335979005,1243.7665170016237,1105.836206681523,1041.614498753962,933.4475807563044,838.6664550345184,758.8343289075772,666.5196685261938,603.9490796314049,567.5222701374568,520.2428929001526,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,1065.494737321022,1740.3288158012247,1764.4966552644962,1540.2258118076943,1364.0263889218606,1282.1074652014956,1144.442327804255,1024.13736587184,923.0613795458489,806.5813844046778,727.8452208626499,682.0609473182429,622.7497252603504,566.2713337594995,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,2163.4271136387697,2194.4184604517727,1907.3479780414239,1682.4987086094281,1578.1266047005015,1403.1299332404167,1250.625129786241,1122.8304755738866,976.0755164310646,877.1578323389708,819.7160892804849,745.4541438325303,674.9079121425357,632.3118768405079,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,2729.0912483195925,2361.975939793515,2075.3278143760003,1942.4920672091473,1720.2908016628287,1527.2006152430317,1365.8336323179017,1181.186960419817,1057.1009340717987,985.1531152270677,892.3358100636187,804.3859237028794,751.3465728353729,684.6724036256502,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,2924.9672342915787,2559.874498021075,2390.983980582827,2109.1421201821554,1864.9407113683556,1661.4275723298676,1429.4002994432683,1273.9581676375378,1183.9790302194592,1068.1585239142205,958.7037025499933,892.7899240675707,810.1123122771314,732.3875338772754,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,3157.5529418656984,2943.025864510865,2585.888664187815,2277.3719589980883,2020.9940015999257,1729.772918693851,1535.3022219353747,1422.9324582466643,1278.6247277572124,1142.6266449965428,1060.8604302387964,958.5342640183692,862.5929114694628,789.6714241000614,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,3622.5258343506853,3170.3981062203316,2781.012290640261,2458.3778568061107,2093.265512405469,1850.2592726815092,1710.1120282143813,1530.5604531818508,1361.8343669513185,1260.5707368638118,1134.1488351345147,1015.9464716422194,926.3023347289236,843.7034756282115,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,3887.02897039941,3396.032576116692,2990.4203981061587,2533.1420431386978,2229.827669908765,2055.2508533307678,1832.1367090665651,1623.0960927883054,1497.8771357130229,1341.9380282188079,1196.5635463940569,1086.573464782652,985.4636049585496,896.4839826555842,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,4147.064468884662,3637.6076739592463,3065.453748073766,2687.2620020894888,2470.0464065663646,2193.1344911800365,1934.4796917721173,1779.857209182736,1587.7966064006052,1409.2910999973817,1274.575103727105,1151.042451229447,1042.591579850378,953.501729164718,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,4424.859326811435,3709.624853857823,3238.535948461647,2968.556972353928,2625.2620083432676,2305.6008171703666,2114.9209167758413,1878.6993216397652,1659.8378001043998,1495.1052530681102,1344.4420655068443,1212.5115712106538,1104.3721737927028,1015.0112118572933,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,4489.16137293112,3902.9000824345803,3567.67811110125,3142.534413720439,2747.919841570953,2513.061419275202,2222.898781180043,1954.9272131644996,1753.7920764459393,1570.3369285586855,1410.1248645521523,1279.1145112196507,1171.0676302490444,1050.485656375147,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,4703.554104657563,4287.7152848907635,3761.7283570295667,3275.0957578886746,2986.1531213551575,2630.159565426828,2302.4782352412612,2057.2375363491824,1834.1869333473132,1639.9448721489891,1481.5059376168215,1351.1174838233474,1206.0255227944226,1106.0576123875394,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,5153.0720518424405,4502.926100124232,3903.407974669423,3548.3058216503746,3112.03523892973,2711.8176001950314,2413.18588320952,2142.369350983708,1907.2205953491277,1715.9213064521275,1558.8497264713144,1384.5953562569478,1264.7945337705644,1143.4225927542416,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,5390.166843198416,4652.259030903962,4216.285532687021,3682.1961129832653,3193.9301680117587,2830.721296898053,2502.3329697689333,2218.056509763833,1987.427694466599,1798.5204830917612,1589.6050824250187,1446.3127370036095,1301.5208897539937,1191.14194340847,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,5544.7737543909825,5010.014521487179,4356.81705812947,3761.753709911006,3320.4997246440803,2922.77813287305,2579.5519891631216,2301.8939306136635,2075.0402512644932,1824.9695166553256,1653.8816996487203,1481.4790587491157,1350.3415583700598,1249.4229430036105,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,5953.165484386948,5155.036368399478,4430.526100962994,3895.0208321262726,3413.867026173459,2999.9634524658304,2666.11745551736,2394.0745100472272,2095.183120351071,1891.2401214828778,1686.3196117635966,1530.8186688846938,1411.3540002758812,1309.435857625358,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,6099.498694794999,5218.194237330529,4568.947008216908,3987.469298922879,3488.89293719972,3087.9712536187044,2762.159797220868,2405.4058260925644,2162.66326537519,1919.4829763031405,1735.4170746507514,1594.2720799620984,1474.0417432621548,1382.4393358808327,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,6145.895651667886,5359.47756471909,4657.448953913835,4057.5074063775564,3576.5740340667385,3186.837633233362,2761.5615704418938,2473.039962654802,2184.8852795255734,1967.3606575386102,1800.8971983285849,1659.339820447311,1551.60404235805,1438.0010905714912,
