data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47,yhat_model_1_to_48,yhat_model_1_to_49
08/04/2020,,,,,,,,,,,,,,4633.971274944,4920.368725751195,4775.797358832007,4556.292189414577,4216.87500901081,3730.6851040280017,3280.690635542661,2862.900992669262,2630.5726550131008,2513.562811715205,2322.869681129194,2199.722965798862,2073.7991869021557,1895.1180023092725,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,,,,6020.151511853044,5837.85310122521,5561.165316593963,5133.8432113202425,4523.313002263174,3960.058045976633,3438.973731192875,3149.8696541816716,3004.363589683559,2767.5577704478897,2614.7563996681147,2458.6282751088143,2237.5350257882765,2109.4851489672537,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,,,,7136.091896457621,6787.6594372805785,6250.208047926369,5484.344013476813,4780.109272604513,4130.963786074913,3771.680215494808,3590.998616365183,3297.3765489259467,3108.096399367464,2914.8690159312637,2641.8212404339247,2483.829776661264,2378.0287774719072,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,,,,8284.652229098256,7609.328729834229,6649.557358314549,5769.977205575152,4962.196031646657,4516.2413717880445,4292.180582608805,3928.6233593769552,3694.51748124114,3455.7730690948224,3119.1554035893064,2924.6047844657824,2794.3380436750726,2694.5431828163582,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,,,,9263.993018262923,8062.3339733723105,6964.827591633037,5960.688771829213,5407.78511509469,5130.276037914956,4680.7154933122865,4391.58174822834,4097.051167585865,3682.7360923717674,3443.598762559894,3283.5284317420655,3160.8696051998163,3019.1769281978295,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,,,,9775.271585095265,8407.108321728194,7160.098151708979,6475.327034936911,6132.01884651534,5576.787471122776,5220.164838655284,4857.329440967444,4348.146652279924,4054.6922785911124,3858.3588647988913,3707.899997591898,3534.1099224007753,3281.633683686159,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,,,,10148.057421863517,8600.852603544594,7753.610640398137,7329.362953596812,6644.402665042947,6205.081108583769,5758.690417330413,5133.786086082797,4774.229115428322,4533.821905015141,4349.601251986122,4136.866848365507,3828.219329516586,3567.7391043956486,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,,,,10331.51556592049,9284.238099254693,8760.501663507568,7916.401154577524,7375.826770639213,6827.314417456536,6061.377797328395,5621.453387955619,5327.5347853021785,5102.357416210319,4842.426437455006,4465.843737446835,4148.451080230664,3943.3496567900957,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,,,,11117.024194450178,10471.08594324099,9431.909894610713,8767.463244794688,8094.239970694266,7156.570255536176,6619.0242296577835,6260.198896919387,5985.388014790717,5668.322105031735,5209.670233239102,4823.684092781265,4574.379536244562,4250.608934792621,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,,,,12515.680613071134,11237.546269192704,10421.667175646555,9596.265339072002,8449.646191827745,7793.621814363198,7356.139717212157,7021.23876578772,6635.077662279912,6077.3877311287515,5608.823094921793,5306.389228148237,4914.134961569558,4606.916093711492,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,,,,13388.852052584094,12387.978562035274,11377.01733470796,9976.359934682156,9176.66092128179,8643.941259721763,8236.357222686089,7766.717340464085,7089.631393331057,6521.757209848573,6155.537907928903,5681.238333372678,5310.1611719134125,4910.377751892354,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,14725.284377921507,13488.218474663647,11778.92603865375,10805.13112773629,10157.19159421253,9661.768038746157,9091.362801914516,8270.473354177446,7583.287328623602,7140.570604009836,6568.087619285526,6120.756510019198,5639.585139658124,5302.015806931382,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,15991.189278163107,13907.186542232115,12722.586100660676,11935.358881055441,11333.865094803767,10641.93197368197,9647.995178776302,8817.600051351574,8283.231995886574,7593.3753247422355,7055.089109742235,6477.08224386521,6071.978564910598,5617.182682906099,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,16419.98913022697,14980.30844560748,14024.820768445205,13295.340715288115,12456.95707013536,11254.955669819523,10252.818770577593,9608.746429753048,8778.711881537965,8132.047446247357,7438.950446687855,6953.755898753571,6409.891443937644,5901.202192987413,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,17638.681267316035,16480.074000893237,15596.275697391158,14581.542132664708,13129.569903627304,11921.644453151994,11146.374748062317,10149.0811402335,9373.403317712917,8543.659268907848,7963.585605997942,7314.468950439838,6708.452044454247,6112.739406174423,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19365.1557876576,18295.417984236505,17068.483881703356,15316.418021662465,13862.100720557557,12930.060225081244,11733.366965564179,10804.251984173561,9812.42101642109,9120.063549458951,8346.702357580356,7626.128941357282,6919.422873779003,6441.497892135365,
